Client_ID,Applied,Approved
101674,1.0,1
111523,3.0,0
123287,0.0,0
105413,3.0,1
119496,0.0,0
123848,1.0,0
101429,4.0,2
100626,0.0,0
107984,0.0,0
104741,2.0,1
116319,3.0,3
109223,4.0,2
121674,2.0,2
103795,1.0,1
105055,3.0,0
107858,0.0,0
120367,4.0,1
117620,4.0,1
111905,4.0,0
111770,2.0,2
100437,2.0,1
104503,3.0,3
105180,2.0,0
105677,3.0,3
123092,1.0,1
109522,0.0,0
124054,3.0,3
107531,0.0,0
117029,2.0,1
114854,2.0,2
124617,2.0,2
103474,3.0,1
106174,1.0,1
122524,0.0,0
116147,0.0,0
108551,2.0,2
120319,2.0,0
109404,4.0,1
100886,2.0,2
103919,1.0,1
111846,1.0,1
102811,4.0,2
112525,3.0,1
109545,0.0,0
117092,0.0,0
109621,1.0,0
115610,4.0,2
122355,2.0,2
109812,2.0,0
112293,3.0,3
119024,1.0,0
124634,2.0,1
112527,1.0,1
118807,2.0,1
109781,0.0,0
115943,1.0,1
120238,2.0,1
112323,1.0,1
110913,3.0,2
108702,2.0,0
109492,3.0,2
103512,1.0,1
101789,1.0,1
103306,0.0,0
102395,0.0,0
107331,0.0,0
108865,4.0,2
111616,1.0,1
109208,2.0,1
123406,4.0,4
106230,0.0,0
121824,3.0,3
112222,4.0,4
108350,4.0,2
100881,4.0,1
108175,0.0,0
113367,3.0,3
113673,3.0,0
100715,1.0,0
114838,4.0,1
124258,4.0,3
110789,2.0,2
124523,4.0,2
108714,1.0,1
118301,2.0,2
109807,3.0,3
124691,3.0,2
101405,4.0,0
101415,2.0,1
100049,1.0,1
121702,1.0,0
101512,4.0,4
115349,0.0,0
108276,2.0,1
112351,1.0,0
115452,0.0,0
101080,3.0,1
101558,0.0,0
116739,2.0,2
118802,4.0,2
103806,3.0,3
106446,4.0,2
107054,4.0,2
120260,2.0,2
113594,1.0,1
113059,0.0,0
116383,0.0,0
106720,4.0,4
105773,2.0,1
120313,3.0,0
117988,1.0,1
120889,2.0,2
109299,4.0,0
102121,3.0,3
117240,2.0,2
117068,3.0,3
109466,2.0,2
120709,2.0,2
113212,1.0,1
104126,3.0,2
124955,3.0,1
119520,0.0,0
100411,0.0,0
106844,0.0,0
108854,1.0,1
109617,2.0,2
108581,2.0,2
121451,1.0,1
118008,2.0,0
124223,2.0,2
118540,3.0,2
116373,4.0,3
109667,2.0,0
104754,2.0,2
101175,2.0,2
110198,3.0,0
118417,1.0,1
123683,0.0,0
118598,0.0,0
114264,4.0,2
112841,1.0,1
118212,3.0,3
113224,2.0,2
100920,1.0,1
122310,3.0,3
119330,4.0,2
100899,3.0,1
119763,1.0,1
100081,1.0,1
108911,4.0,4
123563,0.0,0
117536,2.0,2
100478,3.0,0
124521,1.0,1
102317,4.0,2
100281,4.0,1
103925,1.0,1
112790,3.0,0
124597,0.0,0
107330,4.0,2
111025,4.0,1
121871,3.0,1
