Client_ID,Total_Enquiry_6m_In,Total_Enquiry_1y_In,Total_Enquiry_2y_In
102623,,12,32
119495,0.0,14,24
109833,1.0,5,18
118279,1.0,24,27
112417,9.0,9,16
121998,14.0,18,18
107872,8.0,8,14
124713,6.0,13,31
122683,1.0,23,23
105456,6.0,14,14
110121,12.0,13,13
111384,7.0,7,17
120476,5.0,5,20
110630,12.0,12,29
111698,4.0,16,28
112275,11.0,11,24
123658,6.0,12,14
119922,13.0,13,30
107014,7.0,7,30
111846,6.0,22,22
117388,7.0,21,33
112209,9.0,17,20
114591,2.0,6,33
117939,4.0,10,10
120747,11.0,12,21
115761,3.0,7,18
108838,14.0,14,32
116015,14.0,15,16
111556,0.0,22,27
122829,14.0,14,16
109945,8.0,9,13
107894,5.0,5,8
121813,5.0,7,26
122469,4.0,11,27
117028,0.0,9,32
107607,8.0,20,34
106838,12.0,12,34
109620,5.0,20,25
117356,0.0,3,29
122693,2.0,4,14
103648,5.0,19,24
114244,10.0,10,14
103600,0.0,13,30
111092,7.0,23,23
105327,4.0,5,34
106000,7.0,22,22
102107,14.0,14,25
113148,7.0,7,7
110938,3.0,20,20
121446,0.0,4,21
100676,6.0,8,32
109022,14.0,18,23
104306,13.0,23,23
111922,4.0,4,5
119002,1.0,9,22
116827,8.0,9,16
104004,11.0,12,12
106885,4.0,8,31
117196,10.0,10,11
123898,14.0,14,14
104219,9.0,9,13
101075,14.0,24,33
108977,9.0,21,27
120651,10.0,14,29
121228,2.0,21,21
108949,8.0,18,28
108274,10.0,11,11
121707,14.0,19,19
123015,2.0,19,33
121983,4.0,18,20
120029,12.0,12,22
124165,7.0,12,12
112464,14.0,14,14
114016,14.0,15,15
107480,7.0,8,20
108910,5.0,22,22
121227,13.0,14,14
113424,12.0,18,28
121727,13.0,18,18
122811,2.0,14,14
114667,3.0,9,11
124285,3.0,14,33
111082,3.0,7,30
107193,2.0,13,31
118439,10.0,10,12
124007,5.0,11,11
115039,6.0,19,19
113623,4.0,16,16
104649,10.0,15,19
117779,7.0,21,26
111442,11.0,14,29
115532,12.0,19,32
119805,12.0,12,31
113994,5.0,7,34
114888,5.0,7,24
116772,5.0,23,31
116985,10.0,10,22
122665,1.0,19,19
116806,10.0,24,24
113587,2.0,9,10
110410,11.0,21,21
117091,3.0,23,23
119636,9.0,9,16
111880,8.0,8,31
124550,0.0,10,11
116866,11.0,22,22
108730,3.0,12,12
123957,9.0,9,11
124173,1.0,6,18
115369,5.0,5,33
112874,9.0,23,23
122996,2.0,12,15
110268,8.0,22,22
102915,7.0,8,8
116145,10.0,18,22
114309,11.0,11,31
109805,10.0,10,21
106308,6.0,6,28
109381,7.0,10,22
107479,2.0,24,31
117233,4.0,19,19
115565,3.0,15,17
120905,10.0,10,31
122748,13.0,17,17
119622,3.0,22,32
124689,3.0,5,9
108658,6.0,12,12
100236,5.0,12,23
118570,5.0,17,18
116547,7.0,22,22
123017,13.0,18,18
123686,6.0,12,17
106635,9.0,11,34
103122,1.0,12,13
103038,3.0,21,21
107865,3.0,6,11
120458,8.0,15,25
102131,3.0,19,26
112189,10.0,19,26
112294,2.0,23,27
112402,4.0,8,16
118123,10.0,10,34
121347,3.0,21,22
123911,4.0,15,17
105792,6.0,15,20
102341,7.0,14,20
113563,13.0,20,20
124765,10.0,24,25
101494,13.0,13,16
110292,12.0,12,21
102467,5.0,23,27
104433,13.0,21,21
119029,6.0,16,16
121272,1.0,6,22
101376,8.0,8,10
104677,13.0,13,34
108642,6.0,6,24
103346,12.0,17,17
120456,14.0,15,18
110781,5.0,13,16
113114,13.0,13,21
104298,8.0,12,12
124820,1.0,3,23
114028,4.0,18,18
113296,14.0,16,26
110734,6.0,23,23
114944,6.0,8,14
121867,8.0,8,15
106938,0.0,17,34
119349,8.0,11,17
115471,7.0,7,11
113022,1.0,24,24
119851,2.0,18,18
107140,8.0,12,12
113426,6.0,9,27
111498,1.0,6,16
120677,2.0,18,32
122736,10.0,10,29
122131,3.0,21,24
124488,14.0,14,14
116614,14.0,15,28
117056,12.0,12,34
113782,13.0,15,30
106167,13.0,13,13
118590,3.0,10,17
118561,5.0,13,25
106368,8.0,12,22
114794,5.0,7,16
118261,1.0,11,18
105738,8.0,18,28
123778,5.0,5,29
108872,3.0,18,20
120814,9.0,14,19
112948,14.0,22,22
122313,5.0,14,14
115559,11.0,11,20
112403,2.0,9,9
100386,0.0,4,18
108996,6.0,12,15
106122,12.0,14,18
108259,7.0,20,20
108311,7.0,12,12
106457,9.0,9,12
102815,5.0,13,17
113642,3.0,22,26
102298,13.0,19,19
104247,0.0,14,26
124286,9.0,21,21
121049,7.0,10,29
104039,7.0,11,28
110773,3.0,13,25
115256,10.0,21,21
120911,1.0,21,33
117365,7.0,10,31
110555,1.0,10,33
112098,13.0,13,24
123690,10.0,10,10
123278,1.0,20,32
119288,6.0,24,24
105098,2.0,20,31
110120,14.0,21,21
119450,9.0,9,12
107467,0.0,19,21
111001,11.0,11,11
110385,14.0,19,19
111770,0.0,8,33
122890,14.0,17,21
110696,8.0,22,22
101547,8.0,20,20
116132,5.0,8,9
119834,1.0,10,29
116722,4.0,12,14
121644,2.0,8,13
103868,7.0,21,30
119324,4.0,22,22
103241,7.0,20,20
110858,4.0,24,32
103423,3.0,23,28
116405,3.0,15,31
100871,8.0,8,17
100108,0.0,23,23
114758,12.0,23,23
122277,9.0,23,23
120981,11.0,14,14
116621,4.0,8,17
124740,5.0,23,23
124030,7.0,22,27
108132,7.0,20,20
122922,7.0,15,15
106304,5.0,11,28
104395,13.0,21,21
124910,1.0,18,23
114413,2.0,19,19
118791,3.0,9,13
118836,9.0,19,24
101889,14.0,21,21
118930,10.0,12,30
106580,0.0,22,25
110135,4.0,12,25
104968,7.0,9,9
124006,5.0,24,24
122941,4.0,10,16
120276,14.0,21,32
102600,6.0,6,10
114961,3.0,4,10
114796,0.0,18,22
119455,2.0,22,22
110099,13.0,19,31
113963,6.0,8,8
106588,8.0,22,25
119189,14.0,21,21
104217,3.0,6,31
112960,7.0,18,33
121517,4.0,18,18
105419,0.0,5,31
102982,12.0,20,20
102345,10.0,18,18
114089,1.0,23,23
112539,3.0,12,22
103239,11.0,11,26
114890,10.0,10,27
121216,0.0,23,23
122515,4.0,22,22
116513,14.0,21,30
122488,12.0,12,18
118488,14.0,14,25
112884,6.0,12,12
123427,1.0,16,30
105087,4.0,21,33
101063,7.0,21,21
120967,7.0,13,13
118450,9.0,14,14
101065,5.0,6,32
100581,7.0,7,11
107113,6.0,21,21
123392,8.0,11,25
118171,0.0,10,34
124160,2.0,22,22
124235,11.0,14,15
124269,11.0,22,22
103155,0.0,17,17
104285,,8,17
119538,0.0,7,9
121776,3.0,20,30
119113,13.0,23,27
102919,6.0,6,10
100614,7.0,11,20
108586,0.0,18,18
114887,2.0,9,12
119217,8.0,12,34
103834,3.0,9,26
116987,14.0,14,28
124367,6.0,11,25
124327,6.0,19,19
124779,8.0,20,20
117226,11.0,13,13
111662,8.0,10,27
121564,4.0,6,20
102905,3.0,3,8
111016,10.0,18,20
105431,0.0,15,15
116046,11.0,21,21
120970,11.0,14,24
112407,3.0,18,18
111418,1.0,16,22
119312,11.0,11,11
100815,,12,15
122311,12.0,14,19
122513,2.0,14,30
123636,5.0,15,15
110052,2.0,21,33
124803,14.0,14,34
118823,13.0,13,19
106530,8.0,24,24
109942,13.0,14,26
121544,1.0,5,19
105149,4.0,9,13
110411,14.0,14,34
107003,12.0,12,12
105736,0.0,19,19
119505,10.0,12,12
