Client_ID,Total_Tradelines_6m_In,Total_Tradelines_1y_In,Total_Tradelines_2y_In,Max_Trade_3m_Out
117286,14.0,14,31,2551
112073,13.0,14,31,17528
106784,10.0,10,14,4054
116361,18.0,18,25,19434
106046,2.0,10,25,5276
115692,7.0,26,26,3789
113991,8.0,14,14,6215
108159,2.0,29,31,4841
101753,7.0,7,29,9613
105907,13.0,16,28,18020
101267,16.0,16,26,16611
114157,13.0,20,20,1384
109013,3.0,20,20,8487
112013,8.0,8,22,8070
103497,0.0,7,29,18326
104405,11.0,27,34,19111
111830,2.0,9,19,9080
110122,5.0,17,22,14608
119411,8.0,27,27,16966
118852,19.0,19,19,5635
108268,6.0,27,29,5311
103972,0.0,19,38,15622
112851,11.0,26,26,6070
104899,14.0,27,38,2234
116079,2.0,7,27,13007
119409,18.0,18,29,15480
105226,11.0,26,26,19459
119772,3.0,29,38,9377
117498,17.0,21,22,8133
101630,16.0,16,37,6399
108259,1.0,27,27,10459
100246,0.0,18,35,18386
107307,17.0,17,31,17705
101250,9.0,28,28,9752
112708,4.0,25,35,5112
109641,18.0,19,19,17865
109952,19.0,19,23,4876
118495,6.0,18,18,13667
110896,6.0,20,22,2181
122716,19.0,19,19,5393
102346,9.0,22,31,14458
104855,8.0,20,20,9810
120978,5.0,28,35,15589
122140,1.0,18,32,18809
123013,17.0,17,31,13892
111281,11.0,22,22,11970
117989,12.0,13,37,18232
121553,10.0,28,28,19262
124242,10.0,11,18,1443
103786,15.0,15,27,5875
113062,5.0,24,27,6752
113230,11.0,19,24,11152
103244,4.0,7,26,4239
119926,16.0,19,19,17515
116689,5.0,24,24,17706
117046,9.0,29,29,16525
116764,8.0,27,31,16820
106961,12.0,20,24,12765
107055,2.0,19,31,4612
105161,0.0,20,37,8528
121663,4.0,21,34,5394
111257,18.0,21,31,14129
114802,18.0,29,30,11712
124429,1.0,5,26,9777
114547,3.0,16,38,7727
102455,8.0,28,28,18544
107925,4.0,9,36,15011
107720,6.0,8,27,7390
106397,2.0,23,35,14646
112678,17.0,17,37,8517
114477,,17,25,16829
113910,13.0,13,25,16306
121868,0.0,13,22,8375
124504,4.0,21,25,17447
112789,10.0,10,24,16888
110547,12.0,18,18,19475
109626,19.0,19,31,11256
113411,19.0,19,27,11994
113543,11.0,11,19,9708
112781,9.0,22,31,16484
101928,15.0,15,22,2295
121373,0.0,15,24,6378
106965,15.0,28,35,11218
108168,18.0,18,27,1038
118420,0.0,17,26,16044
122105,13.0,29,29,3716
103913,15.0,15,38,10164
115617,10.0,16,39,19285
111489,8.0,8,11,9817
115686,0.0,9,36,14444
119990,9.0,10,23,18972
112832,,17,17,6388
113658,17.0,17,24,10254
119287,18.0,20,20,17678
105584,10.0,28,28,5743
121907,18.0,19,30,5828
115185,17.0,18,25,14795
122668,4.0,18,28,17524
112326,19.0,21,25,14010
108603,16.0,16,34,15500
108919,6.0,11,34,1703
101329,4.0,10,13,19824
106422,19.0,19,20,9486
100666,17.0,26,38,2859
123540,15.0,15,34,10332
121767,12.0,13,23,9954
113282,19.0,27,27,3091
103632,2.0,12,14,3036
104564,7.0,20,31,8888
119561,7.0,15,15,10907
113736,18.0,22,22,13361
108400,3.0,28,28,14277
111959,3.0,15,31,18306
103133,16.0,16,16,13163
106953,2.0,29,29,5992
100404,10.0,29,35,8384
111394,1.0,22,22,18127
102207,16.0,18,30,9153
105048,12.0,13,25,13989
116772,11.0,20,20,5699
115607,5.0,9,24,5226
100796,6.0,12,19,3989
123223,17.0,25,25,15998
108927,9.0,9,18,19956
113184,4.0,6,33,14384
100422,1.0,6,31,7196
102636,8.0,16,17,18263
114133,17.0,17,27,6228
113842,16.0,23,23,10402
110564,6.0,8,26,7493
112663,6.0,11,18,13581
109545,9.0,16,37,6339
123246,5.0,10,32,19638
114875,16.0,23,29,13726
113719,4.0,17,17,6979
119815,11.0,11,35,18077
104126,16.0,16,16,18327
120285,12.0,23,23,9843
102922,11.0,12,39,4880
122118,18.0,18,22,14362
100142,2.0,20,20,4346
109010,16.0,16,17,16178
109700,14.0,16,28,13534
124846,12.0,21,34,14149
115957,4.0,20,20,6916
104707,8.0,19,26,7477
121878,8.0,10,23,6075
115315,18.0,18,35,17316
110199,18.0,21,31,7171
104588,19.0,27,39,11597
121515,8.0,26,36,14703
111527,15.0,16,19,19012
100188,15.0,17,17,8303
110797,10.0,10,26,14000
115290,11.0,11,37,19429
105230,10.0,27,36,12494
113104,3.0,9,38,13640
101562,14.0,14,36,15623
112564,15.0,26,26,3252
107478,11.0,29,29,3531
110291,7.0,19,36,18375
103973,3.0,19,19,4570
107477,4.0,15,31,19612
114304,19.0,19,33,19367
124577,13.0,18,22,12167
101546,5.0,7,37,6677
108602,14.0,26,26,4806
121737,9.0,10,38,19787
113752,9.0,23,23,15712
123256,5.0,23,23,3405
122211,8.0,15,33,3702
111498,8.0,8,35,11050
118401,0.0,29,29,7072
103998,5.0,7,36,19846
100499,17.0,19,23,16804
122764,14.0,17,29,1057
115233,11.0,24,24,3099
105021,12.0,12,31,2346
110264,11.0,21,21,14335
105835,15.0,15,22,19943
101484,1.0,16,38,3836
112043,18.0,27,27,13486
120918,7.0,8,36,1291
109842,16.0,16,16,4439
115454,1.0,18,28,12724
116475,9.0,20,31,4986
116359,10.0,11,13,17051
124421,1.0,6,38,9910
107003,0.0,20,20,12442
107486,9.0,28,28,11346
122189,15.0,15,15,16091
122030,18.0,18,23,13129
100673,5.0,14,20,14115
117631,13.0,28,30,18920
106960,14.0,14,35,15442
112102,19.0,19,28,13858
119596,18.0,18,32,19877
121323,8.0,8,21,14967
101260,,11,38,8409
117054,4.0,27,33,1305
114853,4.0,23,23,1115
109012,2.0,16,28,10312
119617,3.0,24,24,1072
105711,12.0,15,39,2817
120843,4.0,17,17,16662
115304,8.0,24,24,19066
117837,6.0,18,39,8734
100484,14.0,14,21,7216
105922,13.0,15,15,18976
108488,6.0,6,12,1996
122923,19.0,19,22,12357
109854,9.0,9,10,15980
114524,10.0,15,34,16245
100444,9.0,9,10,17420
